BioSample	DATASTORE_filetype	DATASTORE_provider	Experiment	Library_Name	Library_Number	MBases	MBytes	Run	SRA_Sample	Sample_Name	collection_date	Assay_Type	AvgSpotLen	BioProject	BioSampleModel	Center_Name	Consent	DATASTORE_region	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	geo_loc_name	isolation_source	lat_lon
SAMN04007320	cloud.realign sra	gs ncbi	SRX1164683	Library Number: 171	171	1071	748	SRR2183670	SRS1045411	171_L2_2014-4-20	04-20-2014	WGS	50	PRJNA287928	Metagenome or environmental	SAN DIEGO STATE UNIVERSITY	public	gs.US-EAST1	0	Illumina HiSeq 2500	SINGLE	RANDOM	METAGENOMIC	2015-08-26	indoor metagenome	ILLUMINA	2015-08-31	SRP060568	USA:California:San Diego	Air	not collected
SAMN04007322	cloud.realign sra	gs ncbi	SRX1164695	Library Number: 173	173	427	298	SRR2183684	SRS1045413	173_L2_2014-4-25	04-25-2014	WGS	50	PRJNA287928	Metagenome or environmental	SAN DIEGO STATE UNIVERSITY	public	gs.US-EAST1	0	Illumina HiSeq 2500	SINGLE	RANDOM	METAGENOMIC	2015-08-26	indoor metagenome	ILLUMINA	2015-08-31	SRP060568	USA:California:San Diego	Air	not collected
SAMN04007339	cloud.realign sra	gs ncbi	SRX1164694	Library Number: 208	208	1448	1056	SRR2183683	SRS1045414	208_L4_2014-6-6	06-06-2014	WGS	50	PRJNA287928	Metagenome or environmental	SAN DIEGO STATE UNIVERSITY	public	gs.US-EAST1	0	Illumina HiSeq 2500	SINGLE	RANDOM	METAGENOMIC	2015-08-26	indoor metagenome	ILLUMINA	2015-08-31	SRP060568	USA:California:San Diego	Air	not collected
SAMN04007338	cloud.realign sra	gs ncbi	SRX1164693	Library Number: 207	207	586	435	SRR2183682	SRS1045415	207_D1_2014-6-2	06-02-2014	WGS	50	PRJNA287928	Metagenome or environmental	SAN DIEGO STATE UNIVERSITY	public	gs.US-EAST1	0	Illumina HiSeq 2500	SINGLE	RANDOM	METAGENOMIC	2015-08-26	indoor metagenome	ILLUMINA	2015-08-31	SRP060568	USA:California:San Diego	Air	not collected
SAMN04007323	cloud.realign sra	gs ncbi	SRX1164706	Library Number: 174	174	1398	966	SRR2183697	SRS1045416	174_L1_2014-4-30	04-30-2014	WGS	50	PRJNA287928	Metagenome or environmental	SAN DIEGO STATE UNIVERSITY	public	gs.US-EAST1	0	Illumina HiSeq 2500	SINGLE	RANDOM	METAGENOMIC	2015-08-26	indoor metagenome	ILLUMINA	2015-08-31	SRP060568	USA:California:San Diego	Air	not collected
SAMN04007349	cloud.realign sra	gs ncbi	SRX1164705	Library Number: 218	218	421	324	SRR2183696	SRS1045417	218_L4_2014-6-20	06-20-2014	WGS	50	PRJNA287928	Metagenome or environmental	SAN DIEGO STATE UNIVERSITY	public	gs.US-EAST1	0	Illumina HiSeq 2500	SINGLE	RANDOM	METAGENOMIC	2015-08-26	indoor metagenome	ILLUMINA	2015-08-31	SRP060568	USA:California:San Diego	Air	not collected
SAMN04007348	cloud.realign sra	gs ncbi	SRX1164704	Library Number: 217	217	693	524	SRR2183695	SRS1045418	217_L4_2014-6-18	06-18-2014	WGS	50	PRJNA287928	Metagenome or environmental	SAN DIEGO STATE UNIVERSITY	public	gs.US-EAST1	0	Illumina HiSeq 2500	SINGLE	RANDOM	METAGENOMIC	2015-08-26	indoor metagenome	ILLUMINA	2015-08-31	SRP060568	USA:California:San Diego	Air	not collected
SAMN04007347	cloud.realign sra	gs ncbi	SRX1164703	Library Number: 216	216	826	624	SRR2183694	SRS1045419	216_D1_2014-6-18	06-18-2014	WGS	50	PRJNA287928	Metagenome or environmental	SAN DIEGO STATE UNIVERSITY	public	gs.US-EAST1	0	Illumina HiSeq 2500	SINGLE	RANDOM	METAGENOMIC	2015-08-26	indoor metagenome	ILLUMINA	2015-08-31	SRP060568	USA:California:San Diego	Air	not collected
SAMN04007346	cloud.realign sra	gs ncbi	SRX1164702	Library Number: 215	215	762	566	SRR2183692	SRS1045420	215_L4_2014-6-16	06-16-2014	WGS	50	PRJNA287928	Metagenome or environmental	SAN DIEGO STATE UNIVERSITY	public	gs.US-EAST1	0	Illumina HiSeq 2500	SINGLE	RANDOM	METAGENOMIC	2015-08-26	indoor metagenome	ILLUMINA	2015-08-31	SRP060568	USA:California:San Diego	Air	not collected
SAMN04007345	cloud.realign sra	gs ncbi	SRX1164701	Library Number: 214	214	464	355	SRR2183691	SRS1045421	214_D1_2014-6-16	06-16-2014	WGS	50	PRJNA287928	Metagenome or environmental	SAN DIEGO STATE UNIVERSITY	public	gs.US-EAST1	0	Illumina HiSeq 2500	SINGLE	RANDOM	METAGENOMIC	2015-08-26	indoor metagenome	ILLUMINA	2015-08-31	SRP060568	USA:California:San Diego	Air	not collected
